Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1503960366,2016-03-13,1,411,426
1503960366,2016-03-14,1,354,386
1503960366,2016-03-15,1,312,335
1503960366,2016-03-16,2,333,366
1503960366,2016-03-17,1,402,437
1503960366,2016-03-18,1,379,411
1503960366,2016-03-19,1,447,468
1503960366,2016-03-20,1,469,476
1503960366,2016-03-21,1,390,427
1503960366,2016-03-23,1,281,297
1503960366,2016-03-24,1,303,344
1503960366,2016-03-25,1,351,386
1503960366,2016-03-26,1,425,457
1503960366,2016-03-27,3,495,521
1503960366,2016-03-28,1,73,77
1503960366,2016-03-29,1,349,378
1503960366,2016-03-31,1,308,336
1503960366,2016-04-01,1,283,306
1503960366,2016-04-02,1,439,509
1503960366,2016-04-03,1,379,426
1503960366,2016-04-04,1,294,337
1503960366,2016-04-05,1,280,309
1503960366,2016-04-09,1,380,407
1503960366,2016-04-10,1,455,478
1503960366,2016-04-11,1,310,329
1644430081,2016-03-28,1,839,961
1644430081,2016-03-30,1,594,961
1844505072,2016-04-04,1,940,961
1844505072,2016-04-10,1,498,961
1927972279,2016-03-12,2,603,620
1927972279,2016-03-13,2,519,540
1927972279,2016-03-14,2,193,199
1927972279,2016-03-15,1,68,68
1927972279,2016-03-16,3,599,645
1927972279,2016-03-18,2,505,530
1927972279,2016-03-19,2,579,608
1927972279,2016-03-20,2,507,537
1927972279,2016-03-21,1,403,423
1927972279,2016-03-22,1,379,394
1927972279,2016-03-23,1,370,387
1927972279,2016-03-24,2,505,524
1927972279,2016-03-25,1,60,63
1927972279,2016-03-26,1,387,406
1927972279,2016-03-28,1,331,346
1927972279,2016-03-29,2,563,592
1927972279,2016-03-30,2,401,404
1927972279,2016-03-31,2,478,497
1927972279,2016-04-01,1,384,406
1927972279,2016-04-02,1,280,315
1927972279,2016-04-04,2,572,594
1927972279,2016-04-05,1,393,420
1927972279,2016-04-06,1,414,429
1927972279,2016-04-10,2,457,480
1927972279,2016-04-11,1,433,464
2022484408,2016-03-13,1,135,144
2026352035,2016-03-12,1,509,544
2026352035,2016-03-13,1,610,640
2026352035,2016-03-14,1,518,537
2026352035,2016-03-15,2,609,645
2026352035,2016-03-17,1,486,508
2026352035,2016-03-18,1,553,588
2026352035,2016-03-19,1,554,589
2026352035,2016-03-20,1,531,575
2026352035,2016-03-21,1,540,577
2026352035,2016-03-22,1,516,549
2026352035,2016-03-23,1,578,600
2026352035,2016-03-24,1,564,619
2026352035,2016-03-25,1,501,532
2026352035,2016-03-26,1,535,565
2026352035,2016-03-27,1,555,590
2026352035,2016-03-28,1,519,555
2026352035,2016-03-29,1,483,510
2026352035,2016-03-30,1,492,542
2026352035,2016-03-31,1,464,514
2026352035,2016-04-01,1,560,584
2026352035,2016-04-02,1,515,569
2026352035,2016-04-03,1,528,580
2026352035,2016-04-04,1,538,591
2026352035,2016-04-05,1,508,537
2026352035,2016-04-06,1,491,541
2026352035,2016-04-07,1,493,550
2026352035,2016-04-08,1,510,550
2026352035,2016-04-09,1,516,561
2026352035,2016-04-10,1,501,562
2026352035,2016-04-11,1,509,554
2347167796,2016-03-12,1,413,436
2347167796,2016-03-13,1,532,561
2347167796,2016-03-14,1,484,538
2347167796,2016-03-15,1,435,477
2347167796,2016-03-16,2,519,562
2347167796,2016-03-17,1,444,483
2347167796,2016-03-18,1,371,410
2347167796,2016-03-19,1,251,317
2347167796,2016-03-20,1,483,536
2347167796,2016-03-21,1,472,508
2347167796,2016-03-22,1,472,504
2347167796,2016-03-23,1,466,504
2347167796,2016-03-24,1,452,513
2347167796,2016-03-25,1,384,431
2347167796,2016-03-28,1,484,557
2347167796,2016-03-29,1,453,509
2347167796,2016-03-30,1,490,529
2347167796,2016-03-31,1,486,534
2347167796,2016-04-01,1,495,529
2347167796,2016-04-02,1,414,459
2347167796,2016-04-03,1,441,478
2347167796,2016-04-04,1,505,550
2347167796,2016-04-05,1,473,536
2347167796,2016-04-06,1,402,463
2347167796,2016-04-08,1,450,481
2347167796,2016-04-10,1,516,563
2347167796,2016-04-11,1,456,516
3977333714,2016-03-13,1,304,475
3977333714,2016-03-14,1,272,388
3977333714,2016-03-15,1,284,411
3977333714,2016-03-16,1,205,315
3977333714,2016-03-17,1,363,496
3977333714,2016-04-01,1,297,430
3977333714,2016-04-02,1,199,290
3977333714,2016-04-03,1,222,359
3977333714,2016-04-04,1,205,374
3977333714,2016-04-05,1,378,486
3977333714,2016-04-06,1,296,426
3977333714,2016-04-07,1,221,405
3977333714,2016-04-08,1,305,480
3977333714,2016-04-09,1,273,418
3977333714,2016-04-10,1,293,452
3977333714,2016-04-11,1,282,415
4020332650,2016-03-12,1,326,361
4020332650,2016-03-13,2,563,601
4020332650,2016-03-14,1,265,290
4020332650,2016-03-15,1,331,341
4020332650,2016-03-16,1,459,493
4020332650,2016-03-17,1,374,407
4020332650,2016-03-30,2,366,387
4020332650,2016-03-31,1,259,268
4020332650,2016-04-01,2,403,422
4020332650,2016-04-02,2,525,536
4020332650,2016-04-03,2,387,399
4020332650,2016-04-04,1,463,478
4020332650,2016-04-06,1,245,257
4020332650,2016-04-11,2,500,512
4319703577,2016-03-12,1,572,593
4319703577,2016-03-13,1,373,390
4319703577,2016-03-15,1,483,515
4319703577,2016-03-16,1,509,541
4319703577,2016-03-17,1,489,522
4319703577,2016-03-18,1,513,542
4319703577,2016-03-19,1,419,447
4319703577,2016-03-20,1,473,507
4319703577,2016-03-21,1,489,538
4319703577,2016-03-23,1,510,528
4319703577,2016-03-24,1,405,424
4319703577,2016-03-25,1,488,516
4319703577,2016-03-26,1,570,610
4319703577,2016-03-27,1,525,542
4319703577,2016-03-28,1,522,550
4319703577,2016-03-29,2,454,488
4319703577,2016-03-30,1,548,583
4319703577,2016-04-01,2,463,487
4319703577,2016-04-02,1,513,528
4319703577,2016-04-03,1,569,579
4319703577,2016-04-04,1,456,476
4319703577,2016-04-05,1,466,496
4319703577,2016-04-06,2,488,525
4319703577,2016-04-07,1,472,499
4445114986,2016-03-12,2,361,381
4445114986,2016-03-13,1,348,353
4445114986,2016-03-15,2,487,560
4445114986,2016-03-16,3,388,418
4445114986,2016-03-17,1,217,231
4445114986,2016-03-19,1,137,156
4445114986,2016-03-20,2,539,552
4445114986,2016-03-21,1,195,209
4445114986,2016-03-22,2,344,360
4445114986,2016-03-24,2,380,405
4445114986,2016-03-25,2,325,344
4445114986,2016-03-26,1,156,166
4445114986,2016-03-27,1,318,325
4445114986,2016-03-28,2,359,376
4445114986,2016-03-29,2,442,478
4445114986,2016-03-31,2,360,416
4445114986,2016-04-01,1,311,337
4445114986,2016-04-02,1,469,495
4445114986,2016-04-05,1,465,496
4445114986,2016-04-06,1,431,450
4445114986,2016-04-07,1,262,268
4445114986,2016-04-08,2,219,233
4445114986,2016-04-09,3,391,443
4445114986,2016-04-10,2,347,369
4445114986,2016-04-11,2,395,428
4558609924,2016-03-30,1,81,82
4558609924,2016-03-31,1,205,210
4558609924,2016-04-03,1,360,364
4702921684,2016-03-12,1,477,501
4702921684,2016-03-13,1,296,301
4702921684,2016-03-14,1,435,457
4702921684,2016-03-15,1,426,440
4702921684,2016-03-16,1,461,487
4702921684,2016-03-17,1,476,490
4702921684,2016-03-18,1,425,454
4702921684,2016-03-22,1,437,465
4702921684,2016-03-23,1,427,463
4702921684,2016-03-24,1,428,459
4702921684,2016-03-25,1,463,489
4702921684,2016-03-26,1,469,493
4702921684,2016-03-27,3,484,501
4702921684,2016-03-28,1,468,493
4702921684,2016-03-29,1,395,412
4702921684,2016-03-30,1,405,432
4702921684,2016-03-31,1,447,457
4702921684,2016-04-01,1,398,415
4702921684,2016-04-02,1,540,566
4702921684,2016-04-03,1,568,589
4702921684,2016-04-04,1,445,481
4702921684,2016-04-05,1,405,441
4702921684,2016-04-06,1,431,449
4702921684,2016-04-07,1,453,467
4702921684,2016-04-08,1,439,469
4702921684,2016-04-09,1,414,433
4702921684,2016-04-10,2,491,657
4702921684,2016-04-11,2,382,387
5553957443,2016-03-12,3,707,760
5553957443,2016-03-13,2,624,693
5553957443,2016-03-14,1,386,434
5553957443,2016-03-15,1,338,388
5553957443,2016-03-16,1,378,425
5553957443,2016-03-17,2,311,336
5553957443,2016-03-18,1,105,115
5553957443,2016-03-21,1,144,154
5553957443,2016-03-22,1,526,575
5553957443,2016-03-23,1,249,297
5553957443,2016-03-24,1,364,418
5553957443,2016-03-25,1,607,675
5553957443,2016-03-26,3,348,377
5553957443,2016-03-27,3,660,741
5553957443,2016-03-28,1,585,666
5553957443,2016-03-29,1,347,391
5553957443,2016-03-30,1,271,301
5553957443,2016-03-31,1,412,472
5553957443,2016-04-01,1,365,389
5553957443,2016-04-02,2,791,903
5553957443,2016-04-03,1,656,751
5553957443,2016-04-04,1,410,449
5553957443,2016-04-05,1,413,452
5553957443,2016-04-06,1,366,393
5553957443,2016-04-07,1,370,406
5553957443,2016-04-08,1,382,423
5553957443,2016-04-09,2,619,686
5553957443,2016-04-10,1,558,622
5553957443,2016-04-11,1,404,446
5577150313,2016-03-12,2,594,631
5577150313,2016-03-13,1,342,360
5577150313,2016-03-14,1,360,380
5577150313,2016-03-15,2,502,528
5577150313,2016-03-16,2,541,566
5577150313,2016-03-17,1,360,382
5577150313,2016-03-18,1,418,438
5577150313,2016-03-19,2,409,430
5577150313,2016-03-20,2,607,638
5577150313,2016-03-21,1,470,503
5577150313,2016-03-23,2,570,620
5577150313,2016-03-24,1,372,404
5577150313,2016-03-25,2,356,365
5577150313,2016-03-26,2,489,514
5577150313,2016-03-27,1,354,380
5577150313,2016-03-28,2,439,467
5577150313,2016-03-29,1,414,444
5577150313,2016-03-30,2,462,479
5577150313,2016-03-31,1,438,469
5577150313,2016-04-01,1,404,414
5577150313,2016-04-02,2,414,447
5577150313,2016-04-03,1,336,353
5577150313,2016-04-04,1,431,454
5577150313,2016-04-05,2,459,493
5577150313,2016-04-06,1,364,381
5577150313,2016-04-07,1,409,451
5577150313,2016-04-08,1,451,469
5577150313,2016-04-09,3,615,632
5577150313,2016-04-10,1,345,367
5577150313,2016-04-11,1,394,426
6117666160,2016-03-12,3,722,746
6117666160,2016-03-14,1,641,683
6117666160,2016-03-15,1,534,556
6117666160,2016-03-16,5,606,649
6117666160,2016-03-17,1,625,645
6117666160,2016-03-18,2,633,688
6117666160,2016-03-19,4,639,676
6117666160,2016-03-20,1,481,493
6117666160,2016-03-21,1,526,542
6117666160,2016-03-22,1,397,429
6117666160,2016-03-23,2,357,375
6117666160,2016-03-24,2,809,936
6117666160,2016-03-25,1,527,544
6117666160,2016-03-26,2,405,429
6117666160,2016-03-27,2,527,553
6117666160,2016-03-29,2,577,606
6117666160,2016-03-30,1,87,91
6117666160,2016-03-31,3,603,624
6117666160,2016-04-01,2,468,495
6117666160,2016-04-02,1,544,557
6117666160,2016-04-05,1,61,64
6117666160,2016-04-06,1,438,459
6117666160,2016-04-07,1,584,618
6117666160,2016-04-09,3,435,467
6775888955,2016-03-12,1,487,513
6775888955,2016-03-14,1,627,682
6775888955,2016-03-15,1,119,122
6775888955,2016-03-18,1,278,300
6775888955,2016-03-19,1,387,403
6775888955,2016-03-21,1,364,405
6775888955,2016-03-26,1,368,428
6775888955,2016-03-27,1,363,407
6775888955,2016-03-28,3,454,504
6775888955,2016-03-31,1,290,307
6775888955,2016-04-02,1,439,465
6775888955,2016-04-06,1,430,456
6775888955,2016-04-07,3,286,302
6962181067,2016-03-12,1,415,430
6962181067,2016-03-13,1,595,613
6962181067,2016-03-14,1,402,426
6962181067,2016-03-15,1,355,383
6962181067,2016-03-16,1,381,413
6962181067,2016-03-17,1,368,381
6962181067,2016-03-18,1,434,468
6962181067,2016-03-19,1,444,451
6962181067,2016-03-20,1,486,502
6962181067,2016-03-21,1,433,447
6962181067,2016-03-22,2,456,466
6962181067,2016-03-23,1,601,606
6962181067,2016-03-24,1,497,513
6962181067,2016-03-25,1,510,535
6962181067,2016-03-26,1,476,487
